start_position,end_position,chou_fasman,emini,kolaskar_tongaonkar,parker,isoelectric_point,aromaticity,hydrophobicity,stability,target
379,383,0.654,0.223,1.17,-1.76,6.184753418,0.072210066,-0.681400438,45.2404814,0
294,298,0.966,0.981,1.027,1.04,6.184753418,0.072210066,-0.681400438,45.2404814,0
30,34,0.808,0.459,1.056,0.3,6.184753418,0.072210066,-0.681400438,45.2404814,0
313,317,0.826,0.572,1.068,-3.34,6.184753418,0.072210066,-0.681400438,45.2404814,0
207,211,0.648,0.278,1.096,-1.28,6.184753418,0.072210066,-0.681400438,45.2404814,0
104,108,1.052,1.414,1.043,2.7,6.184753418,0.072210066,-0.681400438,45.2404814,0
228,232,1.174,1.315,0.95,3.42,5.901794434,0.068010076,-0.392443325,39.6415869,1
321,326,0.832,0.645,1.083,0.25,4.868713379,0.027272727,0.008909091,32.97309091,1
268,273,0.93,0.757,1.027,0.05,5.81036377,0.103274559,-0.143828715,40.27329975,1
385,390,0.775,0.228,1.14,-0.467,5.81036377,0.103274559,-0.143828715,40.27329975,1
1695,1700,1.225,1.573,0.978,4.233,5.496520996,0.077084206,-0.523418517,40.98982824,1
297,302,1.247,1.627,1.043,2.333,6.342712402,0.100694444,-0.152604167,39.03055556,1
483,488,1.058,1.09,0.996,1.333,9.081726074,0.071428571,-0.032752613,39.51378049,1
432,437,1.197,0.847,0.97,4.017,9.192077637,0.099118943,-0.394933921,55.11762115,1
73,78,1.133,0.608,1.117,2.483,7.450256348,0.095238095,-0.182993197,21.07959184,1
742,747,0.963,0.255,1.093,-0.333,6.015197754,0.08057727,-0.320264582,42.47319302,1
171,176,0.785,0.265,1.069,-2.6,7.565246582,0.071161049,-0.913483146,50.9,1
2,7,1.218,0.181,1.19,2.567,7.969909668,0.066666667,-0.753333333,137.0466667,1
3,8,1.28,0.335,1.1,3.283,7.969909668,0.066666667,-0.753333333,137.0466667,1
8,13,1.203,1.391,1.073,3,7.969909668,0.066666667,-0.753333333,137.0466667,0
10,15,1.213,1.42,1.082,3.25,7.969909668,0.066666667,-0.753333333,137.0466667,0
4,9,1.24,1.223,1.01,3.75,7.969909668,0.066666667,-0.753333333,137.0466667,1
5,10,1.138,1.035,1.065,2.933,7.969909668,0.066666667,-0.753333333,137.0466667,0
2,7,1.117,0.236,1.245,1.75,6.962585449,0.076923077,-0.153846154,125.0769231,1
8,13,1.123,1.206,1.071,2.033,6.962585449,0.076923077,-0.153846154,125.0769231,0
9,14,1.315,1.783,1.028,4.067,8.534729004,0.071428571,-0.557142857,92.87857143,0
108,113,0.933,0.591,1.067,-0.133,4.980285645,0.093457944,-0.481308411,56.02345794,1
92,97,1.105,0.503,1.052,1.4,11.24456787,0.087179487,-1.016923077,54.91692308,1
161,166,1.128,1.038,1.029,3.533,5.606750488,0.10845987,0.280694143,29.82995662,1
411,416,1.135,4.992,0.92,7.383,5.606750488,0.10845987,0.280694143,29.82995662,1
151,156,0.752,0.147,1.185,-2.067,5.606750488,0.10845987,0.280694143,29.82995662,1
214,219,1.243,0.466,1.137,3.033,5.606750488,0.10845987,0.280694143,29.82995662,1
813,818,1.133,3.24,1.04,0.75,5.075622559,0.097694841,0.213282108,48.22427003,1
865,870,0.852,0.551,1.121,-1.767,5.075622559,0.097694841,0.213282108,48.22427003,1
548,553,1.033,2.494,1.055,1.317,5.075622559,0.097694841,0.213282108,48.22427003,1
879,884,0.887,1.444,1.025,2.017,5.075622559,0.097694841,0.213282108,48.22427003,1
822,827,0.937,1.306,1.132,0.45,5.075622559,0.097694841,0.213282108,48.22427003,1
818,823,1.182,1.578,1.107,1.783,5.075622559,0.097694841,0.213282108,48.22427003,1
93,98,0.793,0.342,1.114,-1.833,4.931213379,0.056179775,-0.009550562,40.12022472,1
28,33,0.623,0.275,1.144,-1.683,5.814880371,0.09947644,0.020418848,52.82408377,1
11,16,1.14,0.87,1.09,-0.6,6.042785645,0.065292096,-0.242955326,27.55687285,1
135,140,0.848,0.421,1.018,-2.167,9.382629395,0.122047244,-0.609055118,38.43937008,1
503,508,1.05,0.469,1.107,1.367,10.64727783,0.037483266,0.685274431,26.83547523,1
215,220,0.823,0.478,1.054,-0.733,5.715637207,0.069400631,0.040378549,36.49463722,0
414,419,1.02,1.655,1.02,1.267,8.581115723,0.09054326,-0.424144869,35.78092555,1
21,26,1.008,0.473,1.099,1.633,8.581115723,0.09054326,-0.424144869,35.78092555,0
355,360,1.042,0.861,1.015,2.533,4.161804199,0.063559322,-0.394161959,45.37585217,1
375,380,0.63,0.277,1.06,-2.617,6.078552246,0.076732673,-0.333663366,34.89232673,1
83,88,0.815,1.572,1.009,0.933,8.347229004,0.084615385,-0.311794872,33.05874359,1
63,68,0.907,2.22,0.963,-0.383,8.347229004,0.084615385,-0.311794872,33.05874359,1
67,72,0.765,0.839,0.972,0.55,8.347229004,0.084615385,-0.311794872,33.05874359,1
80,85,0.952,3.654,1.05,2.05,8.347229004,0.084615385,-0.311794872,33.05874359,1
72,77,0.807,2.556,0.934,1.417,8.347229004,0.084615385,-0.311794872,33.05874359,1
213,218,1.162,0.345,1.129,1.9,9.227966309,0.085953878,0.227253669,55.85997904,1
131,136,1.06,0.845,1.062,0.6,4.612243652,0.064202335,0.198832685,23.16692607,1
28,33,1.048,0.921,1.023,0.133,6.566955566,0.081081081,-0.199189189,36.56086486,1
95,100,1.047,1.723,1.057,2.5,6.566955566,0.081081081,-0.199189189,36.56086486,1
68,73,1.1,0.647,1.044,0.867,6.419616699,0.099337748,-0.558278146,21.07516556,1
50,55,1.023,0.755,1.046,3.717,9.129577637,0.102040816,-0.375765306,23.08545918,1
192,197,1.14,1.327,1.038,2.617,7.95916748,0.052550232,-0.091344668,47.92534776,1
296,301,0.962,1.337,0.979,4.017,7.95916748,0.052550232,-0.091344668,47.92534776,1
211,216,1.433,1.622,1.031,3.5,7.95916748,0.052550232,-0.091344668,47.92534776,1
329,334,1.167,1.671,1.083,2.3,7.95916748,0.052550232,-0.091344668,47.92534776,1
364,369,1.003,0.844,0.979,1.45,6.770690918,0.092555332,-0.031187123,44.63360161,1
156,161,0.903,0.208,1.117,-2.217,4.851623535,0.092555332,0.718712274,47.26559356,1
112,117,1.077,7.44,0.858,7.083,8.909606934,0.1,0.023648649,43.79447973,0
103,108,0.923,0.304,1.021,0.417,8.909606934,0.1,0.023648649,43.79447973,0
104,109,0.853,0.481,1.069,-0.85,8.909606934,0.1,0.023648649,43.79447973,1
25,30,1.098,4.859,0.954,3.983,8.909606934,0.1,0.023648649,43.79447973,0
31,36,0.96,1.218,1.017,1.683,8.909606934,0.1,0.023648649,43.79447973,0
29,34,0.8,1.845,1.019,0.633,8.909606934,0.1,0.023648649,43.79447973,1
158,163,0.865,0.585,1.012,2.9,5.520935059,0.094972067,-0.53575419,34.75030726,1
417,422,1.147,3.205,0.98,2.333,8.447570801,0.098360656,0.106557377,53.25942623,0
194,199,1.077,0.843,1.027,1.4,8.447570801,0.098360656,0.106557377,53.25942623,1
117,122,1.112,0.56,1.148,-1.217,8.272033691,0.062937063,-0.530769231,58.12820513,1
57,62,1.308,0.54,1.076,3.25,5.172912598,0.0625,-0.4140625,48.23125,0
204,209,1.053,0.783,1.002,0.95,7.830627441,0.016528926,-0.440495868,45.81818182,1
14,19,1.048,1.182,0.963,4.1,7.830627441,0.016528926,-0.440495868,45.81818182,1
57,62,0.787,1.139,0.994,3.367,9.86920166,0.038095238,-0.92952381,53.02,1
24,29,1.147,1.378,1.008,2.667,9.86920166,0.038095238,-0.92952381,53.02,1
309,314,0.943,1.206,0.984,3.133,6.428771973,0.051490515,-0.023848238,38.44796748,1
101,106,0.937,1.163,1.055,2.733,11.75628662,0.063636364,-0.735454545,61.92,1
103,108,0.993,1.296,0.977,3.883,5.488342285,0.070754717,-0.111320755,47.89056604,1
336,341,0.997,0.908,1.067,1.467,5.488342285,0.070754717,-0.111320755,47.89056604,1
23,28,0.872,0.4,1.12,-4.917,5.488342285,0.070754717,-0.111320755,47.89056604,1
675,680,0.88,0.566,1.036,0.8,5.10736084,0.088791849,-0.282678311,43.50669578,1
196,201,1.128,4.651,0.93,6.133,5.827209473,0.108280255,-0.365392781,41.18985138,1
303,308,1.112,0.892,0.994,4.967,8.492492676,0.059158134,-1.129806598,58.79159272,1
140,145,0.948,0.183,1.089,-2.75,9.556091309,0.1171875,-0.519921875,39.36953125,1
251,256,1.073,2.926,0.943,4.6,8.715515137,0.0703125,0.07109375,49.10117187,0
38,43,1.05,1.774,1,1.467,8.715515137,0.0703125,0.07109375,49.10117187,1
165,170,1.087,0.832,0.951,4.767,8.729919434,0.056022409,-0.920728291,46.65238095,1
173,178,1.042,1.891,0.896,4.033,9.439758301,0.139275766,0.554038997,35.5805571,1
177,182,0.73,0.102,1.169,-2.033,9.439758301,0.139275766,0.554038997,35.5805571,0
169,174,0.745,0.314,1.057,-2.55,9.439758301,0.139275766,0.554038997,35.5805571,0
132,137,1.043,1.856,0.939,6.217,9.009094238,0.103064067,-0.564902507,13.24654596,1
152,157,1.148,0.623,0.958,2.75,6.648498535,0.089783282,0.450154799,30.45049536,1
165,170,1.1,0.673,0.989,2.45,10.1137085,0.068720379,-1.026540284,52.28014218,1
395,400,0.913,0.229,1.093,-0.35,10.1137085,0.068720379,-1.026540284,52.28014218,1
67,72,0.877,1.026,1.164,-1.967,9.264221191,0.074074074,0.55308642,31.77296296,1
131,136,0.888,0.753,0.948,2.667,11.12701416,0.051470588,-0.579411765,49.00147059,1
36,41,0.86,1.704,0.996,2.117,4.436950684,0.075949367,1.267088608,13.97468354,1
427,432,0.828,0.438,1.081,2.317,5.644714355,0.07029877,-0.312478032,28.06731107,1
144,149,0.865,0.544,1.049,-0.3,5.644714355,0.07029877,-0.312478032,28.06731107,1
74,79,1.023,0.855,1.005,0.617,5.004089355,0.127090301,-0.398327759,31.72575251,1
673,678,1.322,4.411,0.92,5.917,9.030700684,0.087420043,-0.263752665,40.68998934,1
314,319,0.832,0.554,1.096,-2.083,6.230651855,0.07962963,-0.112777778,45.32351852,1
160,165,1.127,1.466,0.969,3.817,9.526794434,0.081521739,-0.826086957,41.75217391,1
41,46,1.042,1.709,0.996,1.917,6.09967041,0.092261905,0.704464286,40.93363095,1
63,68,0.938,1.361,0.945,5.117,4.080871582,0,-1.268211921,92.2397351,1
126,131,0.902,1.633,0.935,5.55,4.080871582,0,-1.268211921,92.2397351,1
120,125,1.038,0.933,0.939,5.2,4.080871582,0,-1.268211921,92.2397351,1
288,293,1.302,1.557,0.989,4.433,9.480041504,0.045822102,-0.916105121,72.19427898,1
301,306,0.912,0.586,1.049,1.333,7.637878418,0.083756345,-0.142893401,61.10967005,1
317,322,1.163,0.898,1.009,-0.783,7.651794434,0.078880407,-0.124173028,57.98501272,1
55,60,0.937,0.34,0.973,-3.533,5.63861084,0.083018868,-0.013584906,37.45379245,1
212,217,0.872,1.073,1.013,2.517,6.184753418,0.072210066,-0.681400438,45.2404814,0
393,398,1.005,0.642,0.978,1.2,6.184753418,0.072210066,-0.681400438,45.2404814,0
218,223,0.775,0.562,1.088,-1.5,6.184753418,0.072210066,-0.681400438,45.2404814,0
337,342,1.072,0.387,1.051,0.817,6.184753418,0.072210066,-0.681400438,45.2404814,0
373,378,0.942,0.333,1.145,-0.25,6.184753418,0.072210066,-0.681400438,45.2404814,0
234,239,0.96,1.006,1.024,3.433,6.184753418,0.072210066,-0.681400438,45.2404814,0
118,123,1.253,1.028,0.996,3.383,5.139831543,0.084812623,-0.088560158,43.65268245,1
68,73,0.957,3.884,0.961,2.517,5.139831543,0.084812623,-0.088560158,43.65268245,1
196,201,0.96,0.843,1.114,-1,5.901794434,0.068010076,-0.392443325,39.6415869,1
61,66,1.073,1.058,1.011,4.517,6.055236816,0.065789474,-0.236466165,52.33496241,1
244,249,1.03,0.393,1.034,2.6,4.999206543,0.105263158,-0.066541353,47.94887218,1
230,236,0.97,2.013,0.979,0.914,5.81036377,0.103274559,-0.143828715,40.27329975,1
65,71,0.834,0.186,1.099,-2.957,5.81036377,0.103274559,-0.143828715,40.27329975,1
35,41,0.806,0.377,0.951,-0.886,5.81036377,0.103274559,-0.143828715,40.27329975,1
159,165,1.106,1.071,1.045,1.614,5.81036377,0.103274559,-0.143828715,40.27329975,1
219,225,0.794,0.494,1.015,0.814,5.81036377,0.103274559,-0.143828715,40.27329975,1
291,297,1.066,0.635,1.034,2.371,6.210876465,0.06547619,-0.036904762,24.9985119,1
268,274,1.077,2.537,0.9,5.143,6.210876465,0.06547619,-0.036904762,24.9985119,1
1,7,0.896,0.759,1.051,-0.743,4.938781738,0.07518797,-0.007518797,29.75112782,1
17,23,1.004,1.853,0.973,2.814,5.027038574,0.029585799,-0.759171598,48.45682446,1
388,394,0.977,0.407,1.049,0.857,5.027038574,0.029585799,-0.759171598,48.45682446,1
232,238,0.786,0.6,1.083,0.643,6.072570801,0.090551181,-0.577952756,45.7523622,1
20,26,1.013,1.422,1.034,1.714,8.45098877,0.072289157,0.106024096,44.98674699,1
2,8,1.267,0.15,1.145,3.014,7.969909668,0.066666667,-0.753333333,137.0466667,1
7,13,1.201,0.625,1.121,2.771,7.969909668,0.066666667,-0.753333333,137.0466667,0
3,9,1.233,0.549,1.068,3.414,7.969909668,0.066666667,-0.753333333,137.0466667,1
4,10,1.199,1.394,1.024,3.514,7.969909668,0.066666667,-0.753333333,137.0466667,1
9,15,1.176,2.33,1.052,3.386,7.969909668,0.066666667,-0.753333333,137.0466667,0
2,8,1.18,0.234,1.192,2.314,6.962585449,0.076923077,-0.153846154,125.0769231,1
7,13,1.133,0.647,1.119,1.943,6.962585449,0.076923077,-0.153846154,125.0769231,0
8,14,1.297,0.92,1.082,3.686,8.534729004,0.071428571,-0.557142857,92.87857143,0
144,150,1.114,0.652,0.988,4.2,9.49786377,0.114457831,-0.577710843,30.29463855,1
38,44,0.71,0.338,1.147,-3.457,6.899475098,0.125827815,0.256291391,20.35827815,1
38,44,0.71,0.365,1.147,-3.457,6.383850098,0.119205298,0.339072848,14.25827815,1
117,123,0.883,0.73,1.11,2.029,5.555480957,0.074906367,-0.717228464,40.82434457,1
419,425,0.844,2.212,0.973,1.943,5.606750488,0.10845987,0.280694143,29.82995662,1
377,383,1.044,1.38,0.977,4.629,5.606750488,0.10845987,0.280694143,29.82995662,1
390,396,1.016,0.781,1.06,0.557,5.606750488,0.10845987,0.280694143,29.82995662,1
543,549,0.939,0.592,1.078,-0.886,5.075622559,0.097694841,0.213282108,48.22427003,0
588,594,1.021,2.343,0.98,1.529,5.075622559,0.097694841,0.213282108,48.22427003,0
601,607,0.926,0.529,1.039,0.457,5.075622559,0.097694841,0.213282108,48.22427003,1
869,875,0.813,0.48,1.135,-2.971,5.075622559,0.097694841,0.213282108,48.22427003,1
875,881,0.884,0.352,1.084,-2.4,5.075622559,0.097694841,0.213282108,48.22427003,1
538,544,0.797,0.365,1.074,-2.357,5.075622559,0.097694841,0.213282108,48.22427003,1
798,804,1.06,0.499,1.032,1.814,5.075622559,0.097694841,0.213282108,48.22427003,1
552,558,1.064,1.09,1.059,0.357,5.075622559,0.097694841,0.213282108,48.22427003,1
534,540,0.924,1.456,1.029,0.7,5.075622559,0.097694841,0.213282108,48.22427003,0
647,653,1.11,1.885,1.009,0.714,6.499572754,0.091312057,-0.169680851,45.11821809,1
86,92,0.76,1.098,0.992,1.314,4.565124512,0.086956522,-0.489130435,36.45434783,1
58,64,1.299,0.461,0.957,2.471,9.382629395,0.122047244,-0.609055118,38.43937008,1
168,174,1.261,1.627,0.944,3.2,9.382629395,0.122047244,-0.609055118,38.43937008,1
93,99,1.217,2.072,0.981,3.571,5.092346191,0.072335025,-0.33248731,45.09758883,1
505,511,1.151,6.593,0.957,6.086,5.092346191,0.072335025,-0.33248731,45.09758883,1
12,18,1.379,0.389,0.98,3.471,4.422912598,0.034782609,-0.237391304,53.6426087,0
146,152,0.979,0.8,0.986,1.614,5.715637207,0.069400631,0.040378549,36.49463722,0
243,249,1.044,1.298,1.035,1.114,5.715637207,0.069400631,0.040378549,36.49463722,0
105,111,1.153,2.366,0.9,7.814,3.686096191,0,-1.971171171,72.9,1
20,26,0.839,0.256,1.117,-1.457,4.90814209,0.038095238,-0.379047619,67.13047619,1
42,48,0.939,0.136,1.144,0.771,6.078552246,0.076732673,-0.333663366,34.89232673,1
349,355,0.837,0.588,1.06,-0.4,6.078552246,0.076732673,-0.333663366,34.89232673,1
77,83,0.979,2.836,1.031,2.629,8.347229004,0.084615385,-0.311794872,33.05874359,1
206,212,1.13,1.871,1.004,3.857,9.227966309,0.085953878,0.227253669,55.85997904,1
67,73,0.849,1.979,0.868,4.243,9.940856934,0.050343249,-1.839816934,79.50961098,1
22,28,1.309,1.013,1.002,3.543,6.101623535,0.038585209,-0.993247588,60.20932476,1
276,282,0.884,0.769,1.016,1.214,9.831604004,0.070921986,-0.438652482,56.52804965,0
119,125,1.19,1.017,0.976,2.014,9.715026855,0.056603774,-0.706918239,76.65918239,1
4,10,1.117,6.549,0.901,4.843,6.361755371,0.121771218,0.807380074,43.48084871,1
131,137,0.766,0.389,1.047,1.157,8.766418457,0.032967033,-0.499267399,10.61501832,1
225,231,0.96,0.699,1.005,1.1,7.95916748,0.052550232,-0.091344668,47.92534776,1
299,305,0.963,0.455,1.016,1.929,7.95916748,0.052550232,-0.091344668,47.92534776,1
211,217,1.446,2.021,1.036,3.3,7.95916748,0.052550232,-0.091344668,47.92534776,1
319,325,1.44,3.873,1.042,2.543,7.95916748,0.052550232,-0.091344668,47.92534776,1
202,208,1.291,1.901,1.027,3.8,7.95916748,0.052550232,-0.091344668,47.92534776,1
329,335,1.217,2.082,1.08,2.271,7.95916748,0.052550232,-0.091344668,47.92534776,1
336,342,1.004,0.934,1.025,0.414,6.093688965,0.075471698,-0.05495283,45.20117925,1
504,510,0.941,0.052,1.17,1.2,9.333068848,0.078431373,-1.290457516,45.73713725,1
222,228,0.984,0.347,1.093,-1.614,8.09161377,0.096256684,-0.277005348,47.14336898,0
30,36,0.963,1.627,1.017,2.3,8.909606934,0.1,0.023648649,43.79447973,0
25,31,1.077,7.344,0.943,4.014,8.909606934,0.1,0.023648649,43.79447973,0
193,199,1.059,0.956,1.038,1.5,8.447570801,0.098360656,0.106557377,53.25942623,1
255,261,0.931,0.457,1.15,-2.686,8.447570801,0.098360656,0.106557377,53.25942623,0
203,209,1.119,2.032,0.999,1.214,8.447570801,0.098360656,0.106557377,53.25942623,0
237,243,1.013,0.706,1.124,-2.014,8.447570801,0.098360656,0.106557377,53.25942623,1
131,137,1.331,2.656,0.877,5.843,9.226989746,0.058241758,-0.146593407,34.98583516,1
664,670,1.039,0.927,1.006,1.014,8.700500488,0.08418293,-0.165249053,35.69196621,1
34,40,0.967,0.835,0.978,0.314,11.19927979,0.025,-0.370833333,46.68,0
107,113,0.986,0.918,0.957,2.329,5.693664551,0.120226308,-0.394200849,41.09803395,1
188,194,1.216,1.102,0.898,4.114,8.457702637,0.058823529,-0.447478992,19.31008403,1
3,9,0.981,1.368,1.017,1.771,8.457702637,0.058823529,-0.447478992,19.31008403,1
56,62,1.291,0.204,1.124,2.986,5.172912598,0.0625,-0.4140625,48.23125,0
52,58,1.314,0.122,1.095,3.114,5.172912598,0.0625,-0.4140625,48.23125,1
405,411,1.077,0.461,1.03,1.586,6.556335449,0.108638743,0.068324607,41.04467277,1
40,46,1.03,0.287,1.061,-0.057,7.830627441,0.016528926,-0.440495868,45.81818182,1
331,337,0.934,0.319,1.006,1.214,4.60333252,0.050704225,-1.126338028,48.80211268,0
347,353,1.031,0.531,1.025,1.543,4.60333252,0.050704225,-1.126338028,48.80211268,1
134,140,1.026,0.867,0.973,1.843,9.86920166,0.038095238,-0.92952381,53.02,1
190,196,1.124,1.215,0.908,2.7,9.86920166,0.038095238,-0.92952381,53.02,1
139,145,0.94,1.147,0.999,0.429,9.86920166,0.038095238,-0.92952381,53.02,1
88,94,0.817,0.166,1.056,-0.857,9.86920166,0.038095238,-0.92952381,53.02,1
169,175,0.819,0.595,1.07,0.243,9.86920166,0.038095238,-0.92952381,53.02,1
103,109,0.946,0.978,1.022,4.329,9.86920166,0.038095238,-0.92952381,53.02,1
24,30,1.077,0.992,1.016,2.586,9.86920166,0.038095238,-0.92952381,53.02,1
191,197,1.01,0.735,0.936,1.571,9.86920166,0.038095238,-0.92952381,53.02,1
163,169,0.961,0.909,1.149,0.157,9.556091309,0.1171875,-0.519921875,39.36953125,1
93,99,1.286,0.412,0.95,3.1,9.556091309,0.1171875,-0.519921875,39.36953125,1
250,256,0.991,1.777,1.006,3.414,8.715515137,0.0703125,0.07109375,49.10117187,0
250,256,1.021,2.081,1.045,2.414,8.727111816,0.117096019,0.267915691,39.02559719,1
101,107,1.08,1.521,0.927,5.4,8.729919434,0.056022409,-0.920728291,46.65238095,1
73,79,0.793,0.298,1.105,-0.843,8.729919434,0.056022409,-0.920728291,46.65238095,1
257,263,0.861,0.116,1.094,-2.871,8.729919434,0.056022409,-0.920728291,46.65238095,1
181,187,0.929,1.733,1.043,1.914,9.439758301,0.139275766,0.554038997,35.5805571,1
187,193,1.073,1.113,1.025,1.371,9.439758301,0.139275766,0.554038997,35.5805571,0
785,791,0.827,0.393,1.057,0.4,8.199035645,0.094535993,-0.385169124,48.96584562,1
990,996,0.979,2.213,0.967,1.1,8.199035645,0.094535993,-0.385169124,48.96584562,1
123,129,1.306,3.132,0.862,6.157,8.824035645,0.101886792,0.636226415,33.05139623,1
35,41,1.091,0.855,1.037,-0.171,8.824035645,0.101886792,0.636226415,33.05139623,1
119,125,0.923,0.715,1.046,0.314,7.422302246,0.073619632,-0.075869121,52.75276074,1
597,603,1.06,0.515,1.123,1.371,5.562072754,0.117928287,-0.04501992,32.41882072,1
39,45,0.974,4.106,1.028,2.471,4.436950684,0.075949367,1.267088608,13.97468354,1
40,46,0.947,2.849,1.041,1.029,4.436950684,0.075949367,1.267088608,13.97468354,1
